date,vessel_class,origin,destination,route_proxy_usd_t
2022-01,Panamax,Australia,East Coast India,19.8
2022-02,Panamax,Australia,East Coast India,20.4
2022-03,Panamax,Australia,East Coast India,22.1
2022-04,Panamax,Australia,East Coast India,24.7
2022-05,Panamax,Australia,East Coast India,26.2
2022-06,Panamax,Australia,East Coast India,28.9
2022-07,Panamax,Australia,East Coast India,30.1
2022-08,Panamax,Australia,East Coast India,29.4
2022-09,Panamax,Australia,East Coast India,27.7
2022-10,Panamax,Australia,East Coast India,26.8
2022-11,Panamax,Australia,East Coast India,24.5
2022-12,Panamax,Australia,East Coast India,23.1
2023-01,Panamax,Australia,East Coast India,22.4
2023-02,Panamax,Australia,East Coast India,23.2
2023-03,Panamax,Australia,East Coast India,22.7
2023-04,Panamax,Australia,East Coast India,21.8
2023-05,Panamax,Australia,East Coast India,20.5
2023-06,Panamax,Australia,East Coast India,21.0
2023-07,Panamax,Australia,East Coast India,21.8
2023-08,Panamax,Australia,East Coast India,23.1
2023-09,Panamax,Australia,East Coast India,24.7
2023-10,Panamax,Australia,East Coast India,25.4
2023-11,Panamax,Australia,East Coast India,24.9
2023-12,Panamax,Australia,East Coast India,23.8
2024-01,Panamax,Australia,East Coast India,24.2
2024-02,Panamax,Australia,East Coast India,25.1
2024-03,Panamax,Australia,East Coast India,24.9
2024-04,Panamax,Australia,East Coast India,25.7
2024-05,Panamax,Australia,East Coast India,27.4
2024-06,Panamax,Australia,East Coast India,29.1
2024-07,Panamax,Australia,East Coast India,30.4
2024-08,Panamax,Australia,East Coast India,29.9
2024-09,Panamax,Australia,East Coast India,28.1
2024-10,Panamax,Australia,East Coast India,26.7
2024-11,Panamax,Australia,East Coast India,27.8
2024-12,Panamax,Australia,East Coast India,29.0
2025-01,Panamax,Australia,East Coast India,28.4
2025-02,Panamax,Australia,East Coast India,27.6
2025-03,Panamax,Australia,East Coast India,28.8
2025-04,Panamax,Australia,East Coast India,30.2
2025-05,Panamax,Australia,East Coast India,31.7
2025-06,Panamax,Australia,East Coast India,30.8
2025-07,Panamax,Australia,East Coast India,29.5
2025-08,Panamax,Australia,East Coast India,30.3
2025-09,Panamax,Australia,East Coast India,31.2
2025-10,Panamax,Australia,East Coast India,29.9
2025-11,Panamax,Australia,East Coast India,30.7
2025-12,Panamax,Australia,East Coast India,31.8
2026-01,Panamax,Australia,East Coast India,31.4
2026-02,Panamax,Australia,East Coast India,32.0
2026-03,Panamax,Australia,East Coast India,31.1
2026-04,Panamax,Australia,East Coast India,30.8
2026-05,Panamax,Australia,East Coast India,31.9
2026-06,Panamax,Australia,East Coast India,32.7
2026-07,Panamax,Australia,East Coast India,33.1
2026-08,Panamax,Australia,East Coast India,32.8
2026-09,Panamax,Australia,East Coast India,33.7
2022-01,Supramax,Australia,East Coast India,17.9
2022-02,Supramax,Australia,East Coast India,18.5
2022-03,Supramax,Australia,East Coast India,19.3
2022-04,Supramax,Australia,East Coast India,21.0
2022-05,Supramax,Australia,East Coast India,22.4
2022-06,Supramax,Australia,East Coast India,24.1
2022-07,Supramax,Australia,East Coast India,24.8
2022-08,Supramax,Australia,East Coast India,24.3
2022-09,Supramax,Australia,East Coast India,23.2
2022-10,Supramax,Australia,East Coast India,22.1
2022-11,Supramax,Australia,East Coast India,20.7
2022-12,Supramax,Australia,East Coast India,19.4
2023-01,Supramax,Australia,East Coast India,18.9
2023-02,Supramax,Australia,East Coast India,19.6
2023-03,Supramax,Australia,East Coast India,19.1
2023-04,Supramax,Australia,East Coast India,18.3
2023-05,Supramax,Australia,East Coast India,17.7
2023-06,Supramax,Australia,East Coast India,18.4
2023-07,Supramax,Australia,East Coast India,19.2
2023-08,Supramax,Australia,East Coast India,20.1
2023-09,Supramax,Australia,East Coast India,21.2
2023-10,Supramax,Australia,East Coast India,21.8
2023-11,Supramax,Australia,East Coast India,21.3
2023-12,Supramax,Australia,East Coast India,20.6
2024-01,Supramax,Australia,East Coast India,20.9
2024-02,Supramax,Australia,East Coast India,21.4
2024-03,Supramax,Australia,East Coast India,21.2
2024-04,Supramax,Australia,East Coast India,22.0
2024-05,Supramax,Australia,East Coast India,23.1
2024-06,Supramax,Australia,East Coast India,24.0
2024-07,Supramax,Australia,East Coast India,25.1
2024-08,Supramax,Australia,East Coast India,24.7
2024-09,Supramax,Australia,East Coast India,23.4
2024-10,Supramax,Australia,East Coast India,22.5
2024-11,Supramax,Australia,East Coast India,23.2
2024-12,Supramax,Australia,East Coast India,24.0
2025-01,Supramax,Australia,East Coast India,23.6
2025-02,Supramax,Australia,East Coast India,23.1
2025-03,Supramax,Australia,East Coast India,24.2
2025-04,Supramax,Australia,East Coast India,25.1
2025-05,Supramax,Australia,East Coast India,26.3
2025-06,Supramax,Australia,East Coast India,25.8
2025-07,Supramax,Australia,East Coast India,25.0
2025-08,Supramax,Australia,East Coast India,25.7
2025-09,Supramax,Australia,East Coast India,26.2
2025-10,Supramax,Australia,East Coast India,25.6
2025-11,Supramax,Australia,East Coast India,26.1
2025-12,Supramax,Australia,East Coast India,27.0
2026-01,Supramax,Australia,East Coast India,26.8
2026-02,Supramax,Australia,East Coast India,27.1
2026-03,Supramax,Australia,East Coast India,26.5
2026-04,Supramax,Australia,East Coast India,26.4
2026-05,Supramax,Australia,East Coast India,27.0
2026-06,Supramax,Australia,East Coast India,27.8
2026-07,Supramax,Australia,East Coast India,28.3
