date,bdi,source,access_note
2026-08-24,2882,Investing.com,"Delayed public market reference"
2026-08-25,2926,Investing.com,"Delayed public market reference"
2026-08-26,3056,Investing.com,"Delayed public market reference"
2026-08-27,3107,Investing.com,"Delayed public market reference"
2026-08-28,3186,Investing.com,"Delayed public market reference"
2026-09-01,3157,Investing.com,"Delayed public market reference"
2026-09-02,3331,Investing.com,"Delayed public market reference"
2026-09-03,3488,Investing.com,"Delayed public market reference"
2026-09-04,3628,Investing.com,"Delayed public market reference"
2026-09-07,3575,Investing.com,"Delayed public market reference"
2026-09-08,3584,Investing.com,"Delayed public market reference"
2026-09-09,3620,Investing.com,"Delayed public market reference"
2026-09-10,3521,Investing.com,"Delayed public market reference"
2026-09-11,3507,Investing.com,"Delayed public market reference"
2026-09-14,3445,Investing.com,"Delayed public market reference"
2026-09-15,3360,Investing.com,"Delayed public market reference"
2026-09-16,3327,Investing.com,"Delayed public market reference"
2026-09-17,3336,Investing.com,"Delayed public market reference"
2026-09-18,3370,Investing.com,"Delayed public market reference"
2026-09-21,3399,Investing.com,"Delayed public market reference"
2026-09-22,3432,Investing.com,"Delayed public market reference"
